title,start_date,end_date,status,dropped_episode,other
すずめの戸締まり,22/11/11,22/11/11,complete,,
サイバーパンク: エッジランナーズ,22/11/11,22/11/21,complete,,
ジョジョの奇妙な冒険 5期「ストーンオーシャン」第二クール,22/11/22,22/11/29,complete,,
後宮の烏,22/11/25,,drop,2
恋愛フロップス,22/11/26,,drop,2
コードギアス 反逆のルルーシュ(rewatch),22/11/25,22/12/7,complete,,
ベルセルク 黄金時代篇　MEMORIAL EDITION（放送用編集ver.）,22/11/27,22/12/27,complete,,
劇場版 転生したらスライムだった件 紅蓮の絆編,22/11/30,22/11/30,complete,,
夫婦以上、恋人未満。,22/12/1,,drop,1
ジョジョの奇妙な冒険 5期「ストーンオーシャン」第三クール,22/12/4,,drop,26
コードギアス 反逆のルルーシュ R2 (rewatch),22/12/7,22/12/16,complete,,
アークナイツ【黎明前奏/PRELUDE TO DAWN】,22/12/15,,drop,5
かぐや様は告らせたい-ファーストキッスは終わらない-,22/12/17,22/12/17,complete,,
One Room,22/12/17,22/12/18,complete,,
One Room セカンドシーズン,22/12/18,22/12/19,complete,,
さくら荘のペットな彼女,22/12/19,,drop,9
One Room サードシーズン,22/12/20,22/12/20,complete,,
ソウナンですか？(rewatch),22/12/21,22/12/23,complete,,
ヴィンランド・サガ,22/12/22,,ongoing,,
魔術師オーフェンはぐれ旅,22/12/27,,drop,2
かがみの孤城,22/12/28,22/12/28,complete,,
シャインポスト,22/12/31,23/1/10,complete,,
美味しんぼ,23/1/1,,ongoing,,
痛いのは嫌なので防御力に極振りしたいと思います。(rewatch),23/1/4,23/1/9,complete,,
響け！ユーフォニアム２(rewatch),23/1/5,23/1/22,complete,,
惑星のさみだれ,23/1/7,,drop,1
不徳のギルド《ちょっと不徳な 配信ver.》,23/1/9,23/1/19,complete,,
少女終末旅行,23/1/10,23/1/17,complete,,
文豪ストレイドッグス,23/1/17,23/1/20,complete,,
虚構推理,23/1/19,,ongoing,,
痛いのは嫌なので防御力に極振りしたいと思います。2,23/1/20,,ongoing,,
トモちゃんは女の子！,23/1/20,,ongoing,,
転生王女と天才令嬢の魔法革命,23/1/21,,ongoing,,
Buddy Daddies,23/1/22,,ongoing,,
REVENGER,23/1/22,,ongoing,,
便利屋斎藤さん、異世界に行く,23/1/24,,ongoing,,
お兄ちゃんはおしまい！,23/1/24,,ongoing,,
お隣の天使様にいつの間にか駄目人間にされていた件,23/1/24,,ongoing,,
劇場版 響け！ユーフォニアム～誓いのフィナーレ～,23/1/25,23/1/25,complete,,
イジらないで、長瀞さん 2nd Attack,23/1/25,,ongoing,,
TRIGUN STAMPEDE,23/1/26,,ongoing,,
